assay,tiff_file,sample_id,project_name,probe_control
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-3.ome.tiff,D_EB_3,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-30.tif,D_EB_30,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-31.ome.tiff,D_EB_31,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-32.tif,D_EB_32,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-33.ome.tiff,D_EB_33,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-33.tif,D_EB_33,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-4.ome.tiff,D_EB_4,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-5.tif,D_EB_5,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-6.ome.tiff,D_EB_6,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-62.tif,D_EB_62,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-7.ome.tiff,D_EB_7,RNAScopeRound1,
RNAScope_4plex,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-8.tif,D_EB_8,RNAScopeRound1,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/201_D-EB-2_D-EB-3.tif,D_EB_2,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/201_D-EB-2_D-EB-3.tif,D_EB_3,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/202_D-EB-4_D-EB-5.tif,D_EB_4,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/202_D-EB-4_D-EB-5.tif,D_EB_5,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/203_D-EB-6_D-EB-7.tif,D_EB_6,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/203_D-EB-6_D-EB-7.tif,D_EB_7,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/204_D-EB-33.tif,D_EB_33,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/205_D-EB-32.tif,D_EB_32,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/206_D-EB-31.tif,D_EB_31,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/207_CTEBV11_CTEBV9.tif,CTEBV_11,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/207_CTEBV11_CTEBV9.tif,CTEBV_9,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/208_CTEBV12.tif,CTEBV_12,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/209_CTEBV14_PosCTL.tif,CTEBV_14,RNAScopeRound2,positive_probe
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/210_CTEBV14_NegCTL.tif,CTEBV_14,RNAScopeRound2,negative_probe
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/226_D-EB-8_D-EB-9.tif,D_EB_8,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/226_D-EB-8_D-EB-9.tif,D_EB_9,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/227_D-EB-10.tif,D_EB_10,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/228_D-EB-11_D-EB-12.tif,D_EB_11,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/228_D-EB-11_D-EB-12.tif,D_EB_12,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/229_D-EB-30.tif,D_EB_30,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/230_D-EB-27_D-EB-29.tif,D_EB_27,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/230_D-EB-27_D-EB-29.tif,D_EB_29,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/231_D-EB-26.tif,D_EB_26,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/232_CTEBV15.tif,CTEBV_15,RNAScopeRound2,
