"","assay","unique_id","sizeC_max","sizeC_min","resolutionLevel_max","tiff_file"
"58","RNAScope_4plex","D_EB_13",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-13.ome.tiff"
"59","RNAScope_4plex","D_EB_15",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-15.ome.tiff"
"60","RNAScope_4plex","D_EB_16",6,6,7,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-16.qptiff"
"61","RNAScope_4plex","D_EB_17",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-17.tif"
"62","RNAScope_4plex","D_EB_18",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-18.tif"
"63","RNAScope_4plex","D_EB_2",6,6,6,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-2.ome.tiff"
"64","RNAScope_4plex","D_EB_2",6,6,6,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/2468_D-EB-2_Rescanned_Cropped.ome.tiff"
"65","RNAScope_4plex","D_EB_20",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-20.tif"
"66","RNAScope_4plex","D_EB_21",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-21.tif"
"67","RNAScope_4plex","D_EB_22",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-22.ome.tiff"
"68","RNAScope_4plex","D_EB_23",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-23.ome.tiff"
"69","RNAScope_4plex","D_EB_24",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-24.ome.tiff"
"70","RNAScope_4plex","D_EB_25",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-25.tif"
"71","RNAScope_4plex","D_EB_27",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-27.ome.tiff"
"72","RNAScope_4plex","D_EB_29",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-29.ome.tiff"
"73","RNAScope_4plex","D_EB_3",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/2468_D-EB-3_Rescanned_Cropped.ome.tiff"
"74","RNAScope_4plex","D_EB_3",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-3.ome.tiff"
"75","RNAScope_4plex","D_EB_30",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-30.tif"
"76","RNAScope_4plex","D_EB_31",6,6,9,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-31.ome.tiff"
"77","RNAScope_4plex","D_EB_32",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-32.tif"
"78","RNAScope_4plex","D_EB_33",16,1,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-33.ome.tiff"
"79","RNAScope_4plex","D_EB_33",16,1,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-33.tif"
"80","RNAScope_4plex","D_EB_5",1,1,1,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-5.tif"
"81","RNAScope_4plex","D_EB_6",6,6,8,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-6.ome.tiff"
"82","RNAScope_4plex","D_EB_7",6,6,7,"Z:/FUSION DATA/AshleyVolaric/RNAScopeRound1/D-EB-7.ome.tiff"
